filename,generated_label,val_label,white_box_consensus,matches_val
0001.png,321,321,True,True
0002.png,847,847,True,True
0003.png,446,446,True,True
0004.png,400,400,True,True
0005.png,647,647,True,True
0006.png,295,295,True,True
0007.png,171,171,True,True
0008.png,682,682,True,True
0009.png,112,112,True,True
0010.png,111,111,True,True
0011.png,829,829,True,True
0012.png,963,963,True,True
0013.png,770,770,True,True
0014.png,277,277,True,True
0015.png,418,418,True,True
0016.png,393,393,True,True
0017.png,238,238,True,True
0018.png,177,177,True,True
0019.png,703,703,True,True
0020.png,346,346,True,True
0021.png,568,568,True,True
0022.png,374,374,True,True
0023.png,532,532,True,True
0024.png,721,721,True,True
0025.png,243,243,True,True
0026.png,247,247,True,True
0027.png,468,468,True,True
0028.png,560,560,True,True
0029.png,287,287,True,True
0030.png,102,102,True,True
0031.png,629,629,True,True
0032.png,417,417,True,True
0033.png,768,768,True,True
0034.png,731,731,True,True
0035.png,668,668,True,True
0036.png,53,53,True,True
0037.png,737,737,True,True
0038.png,176,176,True,True
0039.png,719,719,True,True
0040.png,91,91,True,True
0041.png,871,871,True,True
0042.png,315,315,True,True
0043.png,833,833,True,True
0044.png,688,688,True,True
0045.png,75,75,True,True
0046.png,297,297,True,True
0047.png,533,533,True,True
0048.png,366,366,True,True
0049.png,272,272,True,True
0050.png,793,793,True,True
0051.png,683,683,True,True
0052.png,544,544,True,True
0053.png,498,498,True,True
0054.png,288,288,True,True
0055.png,388,388,True,True
0056.png,37,37,True,True
0057.png,596,596,True,True
0058.png,264,264,True,True
0059.png,909,909,True,True
0060.png,316,316,True,True
0061.png,945,945,True,True
0062.png,576,576,True,True
0063.png,891,891,True,True
0064.png,722,722,True,True
0065.png,940,940,True,True
0066.png,216,216,True,True
0067.png,670,670,True,True
0068.png,518,518,True,True
0069.png,375,375,True,True
0070.png,560,560,True,True
0071.png,904,904,True,True
0072.png,594,594,True,True
0073.png,812,812,True,True
0074.png,616,616,True,True
0075.png,340,340,True,True
0076.png,297,297,True,True
0077.png,275,275,True,True
0078.png,304,304,True,True
0079.png,19,19,True,True
0080.png,362,362,True,True
0081.png,767,767,True,True
0082.png,847,847,True,True
0083.png,399,399,True,True
0084.png,471,471,True,True
0085.png,434,434,True,True
0086.png,662,662,True,True
0087.png,37,37,True,True
0088.png,41,41,True,True
0089.png,629,629,True,True
0090.png,277,277,True,True
0091.png,114,114,True,True
0092.png,28,28,True,True
0093.png,867,867,True,True
0094.png,350,350,True,True
0095.png,332,332,True,True
0096.png,367,367,True,True
0097.png,553,553,True,True
0098.png,229,229,True,True
0099.png,569,569,True,True
0100.png,276,276,True,True
0101.png,739,739,True,True
0102.png,852,852,True,True
0103.png,739,739,True,True
0104.png,591,591,True,True
0105.png,621,621,True,True
0106.png,353,353,True,True
0107.png,817,817,True,True
0108.png,823,823,True,True
0109.png,353,353,True,True
0110.png,975,975,True,True
0111.png,88,88,True,True
0112.png,883,883,True,True
0113.png,378,378,True,True
0114.png,672,672,True,True
0115.png,949,949,True,True
0116.png,339,339,True,True
0117.png,977,977,True,True
0118.png,231,231,True,True
0119.png,864,864,True,True
0120.png,224,224,True,True
0121.png,933,933,True,True
0122.png,418,418,True,True
0123.png,271,271,True,True
0124.png,135,135,True,True
0125.png,649,649,True,True
0126.png,870,870,True,True
0127.png,300,300,True,True
0128.png,371,371,True,True
0129.png,130,130,True,True
0130.png,275,275,True,True
0131.png,431,431,True,True
0132.png,51,51,True,True
0133.png,814,814,True,True
0134.png,665,665,True,True
0135.png,367,367,True,True
0136.png,806,806,True,True
0137.png,441,441,True,True
0138.png,358,358,True,True
0139.png,1,1,True,True
0140.png,614,614,True,True
0141.png,901,901,True,True
0142.png,810,810,True,True
0143.png,731,731,True,True
0144.png,192,192,True,True
0145.png,136,136,True,True
0146.png,952,952,True,True
0147.png,472,472,True,True
0148.png,686,686,True,True
0149.png,578,578,True,True
0150.png,442,442,True,True
0151.png,628,628,True,True
0152.png,332,332,True,True
0153.png,336,336,True,True
0154.png,619,619,True,True
0155.png,170,170,True,True
0156.png,580,580,True,True
0157.png,475,475,True,True
0158.png,30,30,True,True
0159.png,246,246,True,True
0160.png,627,627,True,True
0161.png,841,841,True,True
0162.png,857,857,True,True
0163.png,52,52,True,True
0164.png,962,962,True,True
0165.png,779,779,True,True
0166.png,247,247,True,True
0167.png,651,651,True,True
0168.png,450,450,True,True
0169.png,574,574,True,True
0170.png,988,988,True,True
0171.png,345,345,True,True
0172.png,888,888,True,True
0173.png,760,760,True,True
0174.png,533,533,True,True
0175.png,279,279,True,True
0176.png,322,322,True,True
0177.png,751,751,True,True
0178.png,809,809,True,True
0179.png,326,326,True,True
0180.png,535,535,True,True
0181.png,10,10,True,True
0182.png,958,958,True,True
0183.png,173,173,True,True
0184.png,176,176,True,True
0185.png,283,283,True,True
0186.png,268,268,True,True
0187.png,639,639,True,True
0188.png,147,147,True,True
0189.png,543,543,True,True
0190.png,792,792,True,True
0191.png,722,722,True,True
0192.png,82,82,True,True
0193.png,731,731,True,True
0194.png,276,276,True,True
0195.png,216,216,True,True
0196.png,982,982,True,True
0197.png,972,972,True,True
0198.png,476,476,True,True
0199.png,651,651,True,True
0200.png,291,291,True,True
0201.png,94,94,True,True
0202.png,155,155,True,True
0203.png,817,817,True,True
0204.png,942,942,True,True
0205.png,699,699,True,True
0206.png,576,576,True,True
0207.png,115,115,True,True
0208.png,34,34,True,True
0209.png,148,148,True,True
0210.png,368,368,True,True
0211.png,585,585,True,True
0212.png,388,388,True,True
0213.png,402,402,True,True
0214.png,253,253,True,True
0215.png,710,710,True,True
0216.png,102,102,True,True
0217.png,651,651,True,True
0218.png,335,335,True,True
0219.png,950,950,True,True
0220.png,721,721,True,True
0221.png,387,387,True,True
0222.png,932,932,True,True
0223.png,814,814,True,True
0224.png,11,11,True,True
0225.png,244,244,True,True
0226.png,318,318,True,True
0227.png,174,174,True,True
0228.png,116,116,True,True
0229.png,707,707,True,True
0230.png,451,451,True,True
0231.png,588,588,True,True
0232.png,72,72,True,True
0233.png,747,747,True,True
0234.png,756,756,True,True
0235.png,962,962,True,True
0236.png,861,861,True,True
0237.png,29,29,True,True
0238.png,980,980,True,True
0239.png,375,375,True,True
0240.png,297,297,True,True
0241.png,546,546,True,True
0242.png,916,916,True,True
0243.png,977,977,True,True
0244.png,732,732,True,True
0245.png,241,241,True,True
0246.png,160,160,True,True
0247.png,833,833,True,True
0248.png,142,142,True,True
0249.png,236,236,True,True
0250.png,537,537,True,True
0251.png,179,179,True,True
0252.png,562,562,True,True
0253.png,975,975,True,True
0254.png,534,534,True,True
0255.png,0,0,True,True
0256.png,589,589,True,True
0257.png,610,610,True,True
0258.png,176,176,True,True
0259.png,323,323,True,True
0260.png,976,976,True,True
0261.png,135,135,True,True
0262.png,745,745,True,True
0263.png,869,869,True,True
0264.png,40,40,True,True
0265.png,11,11,True,True
0266.png,562,562,True,True
0267.png,959,959,True,True
0268.png,6,6,True,True
0269.png,363,363,True,True
0270.png,679,679,True,True
0271.png,163,163,True,True
0272.png,787,787,True,True
0273.png,667,667,True,True
0274.png,405,405,True,True
